city,year,tod,mean,std,min,max,spread
dar,2005,day,32.696305824238756,1.5654278154776515,27.670000000000016,37.61000000000004,9.940000000000026
dar,2005,night,21.906461291382264,0.7528071698223591,19.590000000000032,24.110000000000014,4.519999999999982
dar,2010,day,33.16417498266229,1.5996936975540255,28.330000000000013,38.36000000000004,10.03000000000003
dar,2010,night,22.803200107067692,0.5373862562482739,21.010000000000048,24.56000000000003,3.549999999999983
dar,2015,day,33.333813531895274,1.7506054617239715,27.630000000000024,38.99000000000004,11.360000000000014
dar,2015,night,22.67715479797061,0.5591845175018682,20.900000000000034,24.170000000000016,3.269999999999982
dar,2020,day,32.195795014052685,1.6401721213521323,27.29000000000002,39.78000000000003,12.490000000000009
dar,2020,night,22.75572692873918,0.5942089637986214,20.900000000000034,24.310000000000002,3.409999999999968
dar,2025,day,29.797721721356357,1.3248165007711465,26.090000000000032,34.370000000000005,8.279999999999973
dar,2025,night,23.60761309632444,0.5503953991928414,21.80000000000004,25.03000000000003,3.2299999999999898
sgp,2005,day,32.55441621663822,2.384068929831997,27.430000000000035,37.81000000000003,10.379999999999995
sgp,2005,night,24.797785309210713,0.7499560557689126,22.930000000000007,26.710000000000036,3.7800000000000296
sgp,2010,day,33.181070298869486,2.843889318022099,27.140000000000043,39.650000000000006,12.509999999999962
sgp,2010,night,25.001770233726795,0.7149211502571523,23.180000000000035,26.99000000000001,3.809999999999974
sgp,2015,day,33.18702786641142,2.6920236604853423,26.610000000000014,38.78000000000003,12.170000000000016
sgp,2015,night,25.002522162522855,0.7349023157591428,23.210000000000036,27.49000000000001,4.279999999999973
sgp,2020,day,33.60807312035549,2.737009582518817,27.470000000000027,40.05000000000001,12.579999999999984
sgp,2020,night,25.302108367461383,0.678184128285768,23.32000000000002,27.250000000000057,3.9300000000000352
sgp,2025,day,30.44729695809405,1.7096004639695181,26.740000000000038,34.700000000000045,7.960000000000008
sgp,2025,night,26.16645607317596,0.7582669172045439,24.03000000000003,27.870000000000005,3.839999999999975
