index,r,r_squared,p_value,slope,intercept,n,city,scope
NDVI,-0.37365553599804624,0.13961845958198724,7.752319312872811e-109,-6.606539328157578,36.5896123522984,3269,Dar es Salaam,all
NDBI,0.315510340643681,0.09954677505309162,1.8068680976556346e-76,8.57861282846487,33.665148398273345,3269,Dar es Salaam,all
MNDWI,0.14266288908072017,0.020352699920857864,2.4933098530246384e-16,3.4263656782275316,34.96842946593586,3269,Dar es Salaam,all
NDVI,-0.28998894901903555,0.0840935905531648,6.98376835034841e-106,-4.293374392593195,40.342956842579376,5440,Singapore,all
NDBI,0.5743700997982378,0.32990101154223767,0.0,15.192502015125012,39.64243475250058,5440,Singapore,all
MNDWI,-0.1565161232337003,0.024497296832106854,3.5379198810202494e-31,-2.9659793739835325,37.87537062680707,5440,Singapore,all
NDVI,-0.440237052701952,0.19380866257170126,2.423534820831869e-152,-8.308366966793194,37.53817198700838,3211,Dar es Salaam,land
NDBI,0.308994491780904,0.09547759595093915,5.39897013619224e-72,8.704900452558086,33.67961179514266,3211,Dar es Salaam,land
NDVI,-0.614779494482127,0.3779538268356996,0.0,-9.320704391807904,43.124678277224895,4939,Singapore,land
NDBI,0.680086041517566,0.46251702386703253,0.0,16.369693059492644,40.23198894393821,4939,Singapore,land
