class,mean,std,count,ci95,city
built,34.97125037567002,3.6558361252793445,1000,0.22659107060086503,Dar es Salaam
bare,32.92386152270002,3.546668178413363,1000,0.21982477115308252,Dar es Salaam
crops,33.07066889972002,3.3170902643928097,1000,0.20559538462108753,Dar es Salaam
grass,32.030874744530024,2.878029123578996,1000,0.17838209317503365,Dar es Salaam
shrub_and_scrub,31.878589990460018,3.1709808254525265,1000,0.1965394277729559,Dar es Salaam
trees,31.71657413345002,2.7293242778769957,1000,0.1691652713491981,Dar es Salaam
flooded_vegetation,30.77327410088002,2.110792478965547,1000,0.13082827326908997,Dar es Salaam
water,30.47682922628002,2.1790763446244386,1000,0.1350605511103818,Dar es Salaam
built,41.698930596620016,3.083318856992686,1000,0.1911060826766199,Singapore
bare,39.92630099036002,4.292071678383349,1000,0.26602535873410404,Singapore
crops,39.72428575430002,2.5586092297013603,1000,0.15858424304043064,Singapore
grass,38.90767976006002,2.637615999442607,1000,0.16348113336234496,Singapore
shrub_and_scrub,39.84986722712002,3.007485923084032,1000,0.1864059087376544,Singapore
trees,34.70674177094002,2.6232597586750592,1000,0.16259132434086596,Singapore
flooded_vegetation,33.30272636245194,4.474087434326104,416,0.4299459605862712,Singapore
water,32.77958348048002,3.485016296637936,1000,0.2160035479315453,Singapore
