lcz,label,pixels,area_km2,percent,city
6,Open LR,51501,515.01,31.762179573795898,Dar es Salaam
9,Sparsely built,48199,481.99,29.725732144750083,Dar es Salaam
14,Low plants,38257,382.57,23.594146909917157,Dar es Salaam
13,Bush/scrub,7118,71.18,4.3898683506265375,Dar es Salaam
3,Compact LR,6161,61.61,3.7995970633311162,Dar es Salaam
12,Scattered trees,3538,35.38,2.182510339028523,Dar es Salaam
8,Large LR,3441,34.410000000000004,2.1221421518563313,Dar es Salaam
11,Dense trees,3226,32.26,1.989925156362698,Dar es Salaam
16,Bare soil,292,2.92,0.18051444743180295,Dar es Salaam
7,Lightweight,182,1.82,0.11224260112421086,Dar es Salaam
17,Water,172,1.72,0.10647689629593861,Dar es Salaam
10,Heavy industry,39,0.39,0.024180166473601817,Dar es Salaam
15,Bare paved,11,0.11,0.006783893474540217,Dar es Salaam
2,Compact MR,6,0.06,0.0037003055315673913,Dar es Salaam
11,Dense trees,13738,137.38,23.74517370592081,Singapore
4,Open HR,12749,127.49000000000001,22.034618576115907,Singapore
8,Large LR,11590,115.9,20.032440639641255,Singapore
6,Open LR,6433,64.33,11.118320292757392,Singapore
12,Scattered trees,3033,30.330000000000002,5.242609069484876,Singapore
17,Water,2206,22.06,3.8134221316544785,Singapore
3,Compact LR,2140,21.400000000000002,3.698574513669985,Singapore
10,Heavy industry,1694,16.94,2.9280618785003707,Singapore
14,Low plants,1138,11.38,1.9682556981735464,Singapore
5,Open MR,1112,11.120000000000001,1.9218761024303845,Singapore
9,Sparsely built,717,7.17,1.2407677121019296,Singapore
1,Compact HR,624,6.24,1.0797980498339033,Singapore
2,Compact MR,577,5.7700000000000005,0.9972324740128884,Singapore
15,Bare paved,53,0.53,0.09273885847635403,Singapore
16,Bare soil,47,0.47000000000000003,0.0826536855308878,Singapore
13,Bush/scrub,2,0.02,0.0034566116950186772,Singapore
