lcz,label,mean,std,count,ci95,city
3,Compact LR,38.20535611902502,2.4829372485584713,2000,0.10881952284420345,Dar es Salaam
8,Large LR,37.96163078490502,2.2513285987866407,2000,0.09866882621689506,Dar es Salaam
6,Open LR,35.142543593465014,2.963781931899146,2000,0.129893470256158,Dar es Salaam
14,Low plants,31.967927633705017,2.8971034993988023,2000,0.12697115910516155,Dar es Salaam
9,Sparsely built,33.183446469620016,3.4929336745977517,2000,0.15308456789105457,Dar es Salaam
12,Scattered trees,31.05843780047002,2.532752418488031,2000,0.11100276892715814,Dar es Salaam
11,Dense trees,30.39699032634617,1.5236980212754234,1300,0.08282916795616814,Dar es Salaam
17,Water,29.73413107850002,1.589483721045032,160,0.2462930542508386,Dar es Salaam
7,Lightweight,39.1250041564602,1.3863533958124405,113,0.25561762779746466,Dar es Salaam
16,Bare soil,32.59814086000002,3.558078778939652,153,0.5638010955780454,Dar es Salaam
13,Bush/scrub,31.84889594171002,3.6373366965365874,2000,0.15941330936600254,Dar es Salaam
10,Heavy industry,43.98159315454869,3.2197638396067774,1695,0.1532834401360385,Singapore
2,Compact MR,43.14988627246075,1.7949312023032615,573,0.14696928034062273,Singapore
3,Compact LR,42.86546493341002,1.6180310262765176,2000,0.07091333634337761,Singapore
8,Large LR,42.46468841633002,3.428212706970361,2000,0.15024804642064019,Singapore
1,Compact HR,41.270238771782196,2.67053822881908,606,0.21262707191274485,Singapore
4,Open HR,40.82636477894002,2.41160738092043,2000,0.10569335356005488,Singapore
5,Open MR,40.30929548130437,2.1887281393834312,1104,0.12911103307392635,Singapore
6,Open LR,39.58108267937002,2.5023061160204403,2000,0.10966840088832952,Singapore
14,Low plants,38.60567126478907,4.318805915496967,877,0.28583799853294695,Singapore
9,Sparsely built,38.559360569473704,2.6048579671384147,646,0.2008740612777715,Singapore
12,Scattered trees,36.61347568289002,2.544492765684118,2000,0.11151731232959218,Singapore
11,Dense trees,33.93911429429002,2.203117581513973,2000,0.0965558852239275,Singapore
17,Water,31.954770820220016,1.6747016413445583,2000,0.07339703555670733,Singapore
