city,year,season,tod,mean,std
Dar es Salaam,2005,dry,day,31.11851426555225,1.6941535037151083
Dar es Salaam,2005,dry,night,20.44806657663251,1.0234138022438428
Dar es Salaam,2005,wet,day,33.999924127945924,1.9206474610091806
Dar es Salaam,2005,wet,night,22.887706780547777,0.6404870976585155
Dar es Salaam,2010,dry,day,31.227658916426396,1.4574125877004553
Dar es Salaam,2010,dry,night,20.79109977978128,0.9806733411627003
Dar es Salaam,2010,wet,day,34.36787383046805,1.7571739928746626
Dar es Salaam,2010,wet,night,23.606278473312184,0.5682738566946883
Dar es Salaam,2015,dry,day,31.22393872808463,1.4247575762383087
Dar es Salaam,2015,dry,night,21.069826720687175,0.9233268007669778
Dar es Salaam,2015,wet,day,34.79131230913372,2.147869149429807
Dar es Salaam,2015,wet,night,23.55711523159474,0.4761644756992184
Dar es Salaam,2020,dry,day,32.01194622282249,1.4613653586614916
Dar es Salaam,2020,dry,night,21.573048533294415,0.7468361266766865
Dar es Salaam,2020,wet,day,31.858484919273394,2.257484194706033
Dar es Salaam,2020,wet,night,23.555553381757154,0.560263648922804
Dar es Salaam,2025,dry,day,27.529465367254314,1.119692875505842
Dar es Salaam,2025,dry,night,21.987993478604714,0.6779399113339386
Dar es Salaam,2025,wet,day,30.74210083829127,1.6927462756647378
Dar es Salaam,2025,wet,night,24.641184144249422,0.4978720515781032
Singapore,2005,dry,day,32.14090544445157,2.6984871904185566
Singapore,2005,dry,night,25.211536075082204,0.7345539831655239
Singapore,2005,wet,day,32.796648097816494,2.3397430983576335
Singapore,2005,wet,night,24.25233886368644,0.6542859203088895
Singapore,2010,dry,day,32.60206680629321,2.7611395606164524
Singapore,2010,dry,night,25.03968479178942,0.8532432470316933
Singapore,2010,wet,day,33.811974584976554,3.113248289166867
Singapore,2010,wet,night,24.514047167735114,0.7151273669686538
Singapore,2015,dry,day,33.2504445862583,2.849601606186726
Singapore,2015,dry,night,25.399587056660845,0.6942999243832272
Singapore,2015,wet,day,32.655534783071445,2.4436506972485974
Singapore,2015,wet,night,24.107419405220853,0.7014364487112764
Singapore,2020,dry,day,32.406901500662094,2.8668816118472056
Singapore,2020,dry,night,25.691786041295558,0.7892265098580745
Singapore,2020,wet,day,33.47653625852614,2.726024509581822
Singapore,2020,wet,night,25.02785778686491,0.6060709549801906
Singapore,2025,dry,day,30.654009322520945,1.8448685066120092
Singapore,2025,dry,night,26.476690633184575,0.821013951757521
Singapore,2025,wet,day,29.898924883062335,1.7743283967659182
Singapore,2025,wet,night,24.94649208819164,0.7715813623862641
